"name","chr","description"
"SNAI1","20","snail"
"MOCS3","20","molybdenum"
"STX16","20","syntaxin"
"PMEPA1","20","prostate"
"RNF114","20","ring"
"ANKRD60","20","ankyrin"
"DDX27","20","DEAD-box"
"RBPJL","20","recombination"
"SEMG1","20","semenogelin"
"C20orf85","20","chromosome"
"BCAS4","20","breast"
"KCNK15","20","potassium"
"TP53TG5","20","TP53"
"PCK1","20","phosphoenolpyruvate"
"ZBP1","20","Z-DNA"
"NEURL2","20","neuralized"
"MAGEA10","X","MAGE"
"MTRR","5","5-methyltetrahydrofolate-homocysteine"
"FASTKD3","5","FAST"
"PEPD","19","peptidase"
"CHST8","19","carbohydrate"
"IQSEC2","X","IQ"
"VAMP7","X","vesicle"
"IL9R","X","interleukin"
"XG","X","Xg"
"STAMBP","2","STAM"
"NAGK","2","N-acetylglucosamine"
"MCEE","2","methylmalonyl-CoA"
"PAIP2B","2","poly(A)"
"SNRNP27","2","small"
"MPHOSPH10","2","M-phase"
"IL17C","16","interleukin"
"ATP8A1","4","ATPase"
"USP22","17","ubiquitin"
"POF1B","X","POF1B,"
"HIF3A","19","hypoxia"
"ZNF576","19","zinc"
"IRGC","19","immunity"
"ZNF45","19","zinc"
"LYPD3","19","LY6/PLAUR"
"PSG8","19","pregnancy"
"CEACAM8","19","carcinoembryonic"
"NDP","X","NDP,"
"USP9X","X","ubiquitin"
"CRISP2","6","cysteine"
"F13A1","6","coagulation"
"GRM4","6","glutamate"
"TRERF1","6","transcriptional"
"PACSIN1","6","protein"
"BTN2A2","6","butyrophilin"
"SIRT5","6","sirtuin"
"MRS2","6","MRS2,"
"WRNIP1","6","Werner"
"RRP36","6","ribosomal"
"BTN1A1","6","butyrophilin"
"SNRPC","6","small"
"SLC17A3","6","solute"
"SLC17A1","6","solute"
"SERPINB6","6","serpin"
"XPO5","6","exportin"
"ABCC10","6","ATP"
"HIST1H1D","6","histone"
"PEX6","6","peroxisomal"
"NQO2","6","N-ribosyldihydronicotinamide:quinone"
"OARD1","6","O-acyl-ADP-ribose"
"UNC5CL","6","unc-5"
"AARS2","6","alanyl-tRNA"
"HIST1H1A","6","histone"
"ZNF391","6","zinc"
"RPS10","6","ribosomal"
"MOCS1","6","molybdenum"
"HIST1H2BJ","6","histone"
"MED20","6","mediator"
"OR2B6","6","olfactory"
"TBCC","6","tubulin"
"SPDEF","6","SAM"
"TCP11","6","t-complex"
"MAD2L1BP","6","MAD2L1"
"APOBEC2","6","apolipoprotein"
"KLHDC3","6","kelch"
"GNMT","6","glycine"
"DNAH8","6","dynein"
"TREM1","6","triggering"
"MEA1","6","male-enhanced"
"KLHL31","6","kelch"
"COL21A1","6","collagen"
"CDKN1A","6","cyclin"
"SOX4","6","SRY-box"
"GLO1","6","glyoxalase"
"CPNE5","6","copine"
"KCNK17","6","potassium"
"RREB1","6","ras"
"SSR1","6","signal"
"RIOK1","6","RIO"
"NRN1","6","neuritin"
"SLC35B3","6","solute"
"RPP40","6","ribonuclease"
"ATXN1","6","ataxin"
"NUP153","6","nucleoporin"
"DEK","6","DEK"
"EEF1E1","6","eukaryotic"
"CRISP1","6","cysteine"
"RUNX2","6","runt"
"OPN5","6","opsin"
"GCM2","6","glial"
"LRRFIP1","2","LRR"
"RAB17","2","RAB17,"
"CXCL6","4","C-X-C"
"EREG","4","epiregulin"
"TRIM51","11","tripartite"
"MYRF","11","myelin"
"SCGB1D2","11","secretoglobin"
"SCGB2A1","11","secretoglobin"
"AHNAK","11","AHNAK"
"EMC3","3","ER"
"SSUH2","3","ssu-2"
"WNT1","12","Wnt"
"SH3TC1","4","SH3"
"CNOT1","16","CCR4-NOT"
"LRRC29","16","leucine"
"BBS2","16","Bardet-Biedl"
"MT1G","16","metallothionein"
"MT2A","16","metallothionein"
"C16orf70","16","chromosome"
"GOT2","16","glutamic-oxaloacetic"
"DOK4","16","docking"
"PIWIL1","12","piwi"
"GPR18","13","G"
"CLYBL","13","citrate"
"TMTC4","13","transmembrane"
"RAP2A","13","RAP2A,"
"SLC10A2","13","solute"
"ABCC4","13","ATP"
"EFNB2","13","ephrin"
"SOX21","13","SRY-box"
"TM9SF2","13","transmembrane"
"C17orf53","17","chromosome"
"KIF25","6","kinesin"
"IRF1","5","interferon"
"UPF3B","X","UPF3B,"
"RNF113A","X","ring"
"SEPT6","X","septin"
"TMEM255A","X","transmembrane"
"NDUFA1","X","NADH:ubiquinone"
"AMELX","X","amelogenin"
"ATP5S","14","ATP"
"BMP4","14","bone"
"PTGER2","14","prostaglandin"
"FAM193A","4","family"
"GRK4","4","G"
"SOX9","17","SRY-box"
"TEKT3","17","tektin"
"MYH2","17","myosin"
"HS3ST3B1","17","heparan"
"SLC25A35","17","solute"
"MRPS7","17","mitochondrial"
"GGA3","17","golgi"
"ARMC7","17","armadillo"
"NUP85","17","nucleoporin"
"SLC25A19","17","solute"
"MIF4GD","17","MIF4G"
"NT5C","17","5',"
"MSTO1","1","misato"
"C1orf61","1","chromosome"
"TTF1","9","transcription"
"GTF3C4","9","general"
"DDX31","9","DEAD-box"
"BARHL1","9","BarH"
"KIR2DL1","19","killer"
"PPP1R12C","19","protein"
"MBOAT7","19","membrane"
"SRMS","20","src-related"
"OPRL1","20","opioid"
"SLC2A4RG","20","SLC2A4"
"NPBWR2","20","neuropeptides"
"FNDC11","20","fibronectin"
"BHLHE23","20","basic"
"PPDPF","20","pancreatic"
"IL1B","2","interleukin"
"PLGLB2","2","plasminogen-like"
"IL37","2","interleukin"
"CHCHD5","2","coiled-coil-helix-coiled-coil-helix"
"PAX8","2","paired"
"INSIG2","2","insulin"
"POLR1B","2","RNA"
"CCDC93","2","coiled-coil"
"PSD4","2","pleckstrin"
"SLC25A23","19","solute"
"PSPN","19","persephin"
"GTF2F1","19","general"
"ALKBH7","19","alkB"
"CLPP","19","caseinolytic"
"TNFSF9","19","TNF"
"GRIA3","X","glutamate"
"THOC2","X","THO"
"MED1","17","mediator"
"RPL23","17","ribosomal"
"ATG4C","1","autophagy"
"CD70","19","CD70"
"C3","19","complement"
"SH2D3A","19","SH2"
"TRIP10","19","thyroid"
"GPR108","19","G"
"TNFSF14","19","TNF"
"FOSB","19","FosB"
"OPA3","19","OPA3,"
"SNRPD2","19","small"
"RTN2","19","reticulon"
"EML2","19","echinoderm"
"VASP","19","vasodilator"
"SYMPK","19","symplekin"
"GPCPD1","20","glycerophosphocholine"
"SDCBP2","20","syndecan"
"PANK2","20","pantothenate"
"TGM3","20","transglutaminase"
"GNRH2","20","gonadotropin"
"DEFB126","20","defensin"
"FOXA2","20","forkhead"
"CD93","20","CD93"
"GZF1","20","GDNF"
"PAX1","20","paired"
"NAPB","20","NSF"
"CST8","20","cystatin"
"NKX2-4","20","NK2"
"CENPB","20","centromere"
"PSMF1","20","proteasome"
"NKX2-2","20","NK2"
"DTD1","20","D-tyrosyl-tRNA"
"CSTL1","20","cystatin"
"RBCK1","20","RANBP2-type"
"TMX4","20","thioredoxin"
"CST11","20","cystatin"
"STK35","20","serine/threonine"
"SNRPB","20","small"
"NRSN2","20","neurensin"
"AP5S1","20","adaptor"
"RRBP1","20","ribosome"
"BMP2","20","bone"
"ZNF133","20","zinc"
"FLRT3","20","fibronectin"
"OVOL2","20","ovo"
"PCSK2","20","proprotein"
"GFRA4","20","GDNF"
"MKKS","20","McKusick-Kaufman"
"BFSP1","20","beaded"
"DSTN","20","destrin,"
"LAMP5","20","lysosomal"
"SNRPB2","20","small"
"MGME1","20","mitochondrial"
"LRRN4","20","leucine"
"TBC1D20","20","TBC1"
"ITPA","20","inosine"
"TCF15","20","transcription"
"OTOR","20","otoraplin"
"MCM8","20","minichromosome"
"BANF2","20","barrier"
"TMEM74B","20","transmembrane"
"FAM110A","20","family"
"SIRPD","20","signal"
"MRPS26","20","mitochondrial"
"DEFB129","20","defensin"
"S1PR4","19","sphingosine-1-phosphate"
"NCLN","19","nicalin"
"CITED1","X","Cbp/p300"
"HNRNPR","1","heterogeneous"
"ZNF436","1","zinc"
"MAX","14","MYC"
"CHURC1-FNTB","14","CHURC1-FNTB"
"ARMCX5","X","armadillo"
"GDF5","20","growth"
"MMP24","20","matrix"
"NECAB3","20","N-terminal"
"ID1","20","inhibitor"
"RALY","20","RALY"
"DYNLRB1","20","dynein"
"C20orf173","20","chromosome"
"EIF2S2","20","eukaryotic"
"ERGIC3","20","ERGIC"
"ROMO1","20","reactive"
"FAM83C","20","family"
"BPIFB1","20","BPI"
"CEP250","20","centrosomal"
"PLAGL2","20","PLAG1"
"MMP24OS","20","MMP24"
"GRPR","X","gastrin"
"KDM5C","X","lysine"
"AMOT","X","angiomotin"
"TMEM115","3","transmembrane"
"PSMB2","1","proteasome"
"AGO3","1","argonaute"
"UROD","1","uroporphyrinogen"
"ST3GAL3","1","ST3"
"TMEM53","1","transmembrane"
"HECTD3","1","HECT"
"KLC1","14","kinesin"
"XRCC3","14","X-ray"
"TUBGCP3","13","tubulin"
"MCF2L","13","MCF.2"
"F10","13","coagulation"
"PCID2","13","PCI"
"PROZ","13","protein"
"SLURP1","8","secreted"
"LRFN3","19","leucine"
"IGFLR1","19","IGF"
"CAPNS1","19","calpain"
"PDCD2L","19","programmed"
"GPR42","19","G"
"RBM42","19","RNA"
"KIRREL2","19","kirre"
"UBA2","19","ubiquitin"
"FFAR2","19","free"
"HCST","19","hematopoietic"
"FFAR1","19","free"
"COX6B1","19","cytochrome"
"KRT36","17","keratin"
"THRA","17","thyroid"
"CCR7","17","C-C"
"NR1D1","17","nuclear"
"FRMD8","11","FERM"
"PRDX5","11","peroxiredoxin"
"BCL2L12","19","BCL2"
"IRF3","19","interferon"
"PRMT1","19","protein"
"RRAS","19","RAS"
"PRRG2","19","proline"
"SCAF1","19","SR-related"
"PRR12","19","proline"
"TSKS","19","testis"
"FLRT1","11","fibronectin"
"ASL","7","argininosuccinate"
"SBDS","7","SBDS,"
"CSN1S1","4","casein"
"STATH","4","statherin"
"HTN1","4","histatin"
"STAT5A","17","signal"
"WNK4","17","WNK"
"BECN1","17","beclin"
"PRKCG","19","protein"
"TRAP1","16","TNF"
"GLIS2","16","GLIS"
"NSRP1","17","nuclear"
"DNAJC8","1","DnaJ"
"AHDC1","1","AT-hook"
"IFI6","1","interferon"
"DACH2","X","dachshund"
"ZNF384","12","zinc"
"EMG1","12","EMG1,"
"SSX1","X","SSX"
"UXT","X","ubiquitously"
"CFP","X","complement"
"ELK1","X","ELK1,"
"TIMM17B","X","translocase"
"PCNX4","14","pecanex"
"ATG14","14","autophagy"
"KTN1","14","kinectin"
"SIX1","14","SIX"
"RHOJ","14","ras"
"DLGAP5","14","DLG"
"L3HYPDH","14","trans-L-3-hydroxyproline"
"HSPA2","14","heat"
"ZBTB1","14","zinc"
"TRMT5","14","tRNA"
"SGPP1","14","sphingosine-1-phosphate"
"PLEKHG3","14","pleckstrin"
"PZP","12","PZP,"
"PRDM7","16","PR/SET"
"RHOT1","17","ras"
"EVI2A","17","ecotropic"
"OMG","17","oligodendrocyte"
"WDR60","7","WD"
"AIF1L","9","allograft"
"FAM78A","9","family"
"NUP214","9","nucleoporin"
"CTAG2","X","cancer/testis"
"AVPR2","X","arginine"
"SLC10A3","X","solute"
"MAP2K2","19","mitogen-activated"
"HNRNPH2","X","heterogeneous"
"ARMCX1","X","armadillo"
"TMEM35A","X","transmembrane"
"NXF5","X","nuclear"
"TIMM8A","X","translocase"
"ZC4H2","X","zinc"
"CANX","5","calnexin"
"INTS11","1","integrator"
"RGS13","1","regulator"
"IPPK","9","inositol-pentakisphosphate"
"ZNF484","9","zinc"
"OMD","9","osteomodulin"
"FGD3","9","FYVE,"
"HIVEP3","1","human"
"PPCS","1","phosphopantothenoylcysteine"
"EDN2","1","endothelin"
"BCL11B","14","B"
"COX7C","5","cytochrome"
"TRAF2","9","TNF"
"ABHD8","19","abhydrolase"
"MASP1","3","mannan"
"ATP13A4","3","ATPase"
"HRASLS","3","HRAS"
"HELB","12","DNA"
"RAP1B","12","RAP1B,"
"IL22","12","interleukin"
"TSPAN8","12","tetraspanin"
"BEST3","12","bestrophin"
"RAB3IP","12","RAB3A"
"PTPRB","12","protein"
"DYRK2","12","dual"
"YEATS4","12","YEATS"
"TAS2R3","7","taste"
"TAS2R4","7","taste"
"TAS2R5","7","taste"
"CRYGN","7","crystallin"
"LRRC61","7","leucine"
"TRPV5","7","transient"
"IDUA","4","iduronidase,"
"FGFRL1","4","fibroblast"
"TMEM175","4","transmembrane"
"AUNIP","1","aurora"
"PIN1","19","peptidylprolyl"
"FBXL12","19","F-box"
"EMC1","1","ER"
"PLA2G5","1","phospholipase"
"UBR4","1","ubiquitin"
"HP1BP3","1","heterochromatin"
"ADGRE2","19","adhesion"
"SIN3B","19","SIN3"
"OR7A10","19","olfactory"
"SLC35E1","19","solute"
"EPS15L1","19","epidermal"
"KLF2","19","Kruppel"
"OR7C2","19","olfactory"
"OR7C1","19","olfactory"
"F2RL3","19","F2R"
"UQCR11","19","ubiquinol-cytochrome"
"GFER","16","growth"
"SYNGR3","16","synaptogyrin"
"PKMYT1","16","protein"
"WFIKKN1","16","WAP,"
"WDR24","16","WD"
"FBXL16","16","F-box"
"CHTF18","16","chromosome"
"GNG13","16","G"
"MACF1","1","microtubule-actin"
"SMARCA4","19","SWI/SNF"
"KDM4B","19","lysine"
"TICAM1","19","toll"
"METTL25","12","methyltransferase"
"IL17B","5","interleukin"
"EMC6","17","ER"
"OR1E2","17","olfactory"
"METTL16","17","methyltransferase"
"TUBA4A","2","tubulin"
"VIL1","2","villin"
"AAMP","2","angio"
"PNKD","2","paroxysmal"
"TNFRSF19","13","TNF"
"RNF6","13","ring"
"ECHS1","10","enoyl-CoA"
"ZNF835","19","zinc"
"AKAP9","7","A-kinase"
"GNG11","7","G"
"SEM1","7","SEM1,"
"GNGT1","7","G"
"HIP1","7","huntingtin"
"PTPN12","7","protein"
"POR","7","cytochrome"
"FGL2","7","fibrinogen"
"STYXL1","7","serine/threonine/tyrosine"
"STEAP4","7","STEAP4"
"GNAI1","7","G"
"PEX1","7","peroxisomal"
"MTERF1","7","mitochondrial"
"SGCE","7","sarcoglycan"
"RBM48","7","RNA"
"CASD1","7","CAS1"
"ZNF780B","19","zinc"
"LRFN1","19","leucine"
"ZFP36","19","ZFP36"
"SRD5A3","4","steroid"
"SPINK2","4","serine"
"RASL11B","4","RAS"
"PAICS","4","phosphoribosylaminoimidazole"
"KDR","4","kinase"
"PPAT","4","phosphoribosyl"
"TUBGCP6","22","tubulin"
"ADM2","22","adrenomedullin"
"DGCR6L","22","DiGeorge"
"DGCR8","22","DGCR8,"
"ASPHD2","22","aspartate"
"VPREB3","22","V-set"
"SDF2L1","22","stromal"
"GAL3ST1","22","galactose-3-O-sulfotransferase"
"YWHAH","22","tyrosine"
"RFPL1","22","ret"
"RFPL2","22","ret"
"GNAZ","22","G"
"MGAT3","22","mannosyl"
"ADORA2A","22","adenosine"
"ATF4","22","activating"
"A4GALT","22","alpha"
"RFPL3","22","ret"
"CDC42EP1","22","CDC42"
"APOL3","22","apolipoprotein"
"MCHR1","22","melanin"
"TPST2","22","tyrosylprotein"
"BAIAP2L2","22","BAI1"
"MPST","22","mercaptopyruvate"
"GALR3","22","galanin"
"TST","22","thiosulfate"
"APOL5","22","apolipoprotein"
"IGLL1","22","immunoglobulin"
"APOL2","22","apolipoprotein"
"RAC2","22","Rac"
"LIF","22","LIF,"
"C22orf23","22","chromosome"
"APOBEC3A","22","apolipoprotein"
"APOBEC3F","22","apolipoprotein"
"RIBC2","22","RIB43A"
"KRT17","17","keratin"
"EMC4","15","ER"
"RNF112","17","ring"
"SPECC1","17","sperm"
"CPA4","7","carboxypeptidase"
"DOCK4","7","dedicator"
"POT1","7","protection"
"TAS2R16","7","taste"
"ATP6V1F","7","ATPase"
"LSM8","7","LSM8"
"CDHR3","7","cadherin"
"PRKRIP1","7","PRKR"
"VGF","7","VGF"
"PODXL","7","podocalyxin"
"FOXP2","7","forkhead"
"STRIP2","7","striatin"
"IFT22","7","intraflagellar"
"MKLN1","7","muskelin"
"DNAJB9","7","DnaJ"
"FLNC","7","filamin"
"LRRC4","7","leucine"
"CALU","7","calumenin"
"CCDC136","7","coiled-coil"
"SMO","7","smoothened,"
"IRF5","7","interferon"
"LRRC17","7","leucine"
"KLHDC10","7","kelch"
"NDUFA5","7","NADH:ubiquinone"
"FEZF1","7","FEZ"
"OPN1SW","7","opsin"
"MRPS12","19","mitochondrial"
"MYO1B","2","myosin"
"HOXD1","2","homeobox"
"HOXD3","2","homeobox"
"MTX2","2","metaxin"
"PDE11A","2","phosphodiesterase"
"CHN1","2","chimerin"
"GAD1","2","glutamate"
"OSGEPL1","2","O-sialoglycoprotein"
"ORMDL1","2","ORMDL"
"HAT1","2","histone"
"HOXD9","2","homeobox"
"HOXD10","2","homeobox"
"HOXD11","2","homeobox"
"HOXD13","2","homeobox"
"HERC2","15","HECT"
"SNRPN","15","small"
"PSMG2","18","proteasome"
"TWSG1","18","twisted"
"ARHGAP22","10","Rho"
"WDFY4","10","WDFY"
"EIF2AK4","15","eukaryotic"
"MYO5C","15","myosin"
"CGNL1","15","cingulin"
"TMOD2","15","tropomodulin"
"TTBK2","15","tau"
"ELL3","15","elongation"
"CCDC32","15","coiled-coil"
"INO80","15","INO80"
"ICE2","15","interactor"
"DLL4","15","delta"
"ALDH1A2","15","aldehyde"
"MINDY2","15","MINDY"
"IVD","15","isovaleryl-CoA"
"KNSTRN","15","kinetochore"
"DUT","15","deoxyuridine"
"CHAC1","15","ChaC"
"CLN6","15","CLN6,"
"ARPP19","15","cAMP"
"VPS13C","15","vacuolar"
"CALML4","15","calmodulin"
"ISLR","15","immunoglobulin"
"THAP10","15","THAP"
"LOXL1","15","lysyl"
"ACKR4","3","atypical"
"ANAPC13","3","anaphase"
"MBD4","3","methyl-CpG"
"COPB1","11","coatomer"
"PSMA1","11","proteasome"
"SUMF2","7","sulfatase"
"PALLD","4","palladin,"
"SPCS3","4","signal"
"BBOX1","11","gamma-butyrobetaine"
"MYOD1","11","myogenic"
"SERGEF","11","secretion"
"KCNC1","11","potassium"
"TPH1","11","tryptophan"
"CSRP3","11","cysteine"
"E2F8","11","E2F"
"DCTD","4","dCMP"
"SOX15","17","SRY-box"
"PIMREG","17","PICALM"
"RPAIN","17","RPA"
"USP6","17","ubiquitin"
"SHBG","17","sex"
"PLD2","17","phospholipase"
"AIPL1","17","aryl"
"CD68","17","CD68"
"TXNDC17","17","thioredoxin"
"ATP1B2","17","ATPase"
"FXR2","17","FMR1"
"KIF1C","17","kinesin"
"MPDU1","17","mannose-P-dolichol"
"PHF20L1","8","PHD"
"LRRC6","8","leucine"
"CCNT1","12","cyclin"
"PUS7L","12","pseudouridylate"
"KRI1","19","KRI1"
"ILF3","19","interleukin"
"SLC44A2","19","solute"
"AP1M2","19","adaptor"
"CDKN2D","19","cyclin"
"MTUS1","8","microtubule"
"KLK14","19","kallikrein"
"SIGLEC9","19","sialic"
"KLK10","19","kallikrein"
"KLK8","19","kallikrein"
"NGDN","14","neuroguidin"
"RIPK3","14","receptor"
"ADCY4","14","adenylate"
"RAB2B","14","RAB2B,"
"BCL2L2","14","BCL2"
"AJUBA","14","ajuba"
"DTD2","14","D-tyrosyl-tRNA"
"PARP2","14","poly(ADP-ribose)"
"HEATR5A","14","HEAT"
"FOXA1","14","forkhead"
"SNX6","14","sorting"
"EAPP","14","E2F"
"EGLN3","14","egl-9"
"MIS18BP1","14","MIS18"
"NRL","14","neural"
"RNASE1","14","ribonuclease"
"NEDD8","14","neural"
"DAD1","14","defender"
"TEP1","14","telomerase"
"EPB41L4A","5","erythrocyte"
"CDO1","5","cysteine"
"REEP5","5","receptor"
"ITFG1","16","integrin"
"QRICH2","17","glutamine"
"FOXJ1","17","forkhead"
"SEC14L1","17","SEC14"
"RHBDF2","17","rhomboid"
"AANAT","17","aralkylamine"
"ARHGEF6","X","Rac/Cdc42"
"MAP7D3","X","MAP7"
"FGF13","X","fibroblast"
"ASH2L","8","ASH2"
"TTI2","8","TELO2"
"ART1","11","ADP-ribosyltransferase"
"CHRNA10","11","cholinergic"
"CDKN1C","11","cyclin"
"SGO1","3","shugoshin"
"RPS4Y1","Y","ribosomal"
"VCY1B","Y","variable"
"VCY","Y","variable"
"CDY2B","Y","chromodomain"
"CDH15","16","cadherin"
"KLF16","19","Kruppel"
"TMEM8A","16","transmembrane"
"DOHH","19","deoxyhypusine"
"MAU2","19","MAU2"
"SHC2","19","SHC"
"PLPPR3","19","phospholipid"
"INS-IGF2","11","INS-IGF2"
"ABHD17A","19","abhydrolase"
"LBP","20","lipopolysaccharide"
"SYT5","19","synaptotagmin"
"TNNI3","19","troponin"
"CBFA2T3","16","CBFA2/RUNX1"
"GAMT","19","guanidinoacetate"
"PUDP","X","pseudouridine"
"ERMARD","6","ER"
"PHF10","6","PHD"
"PRRG3","X","proline"
"GALNT8","12","polypeptide"
"KCNA5","12","potassium"
"CRACR2A","12","calcium"
"NXNL2","9","nucleoredoxin"
"STARD8","X","StAR"
"FAM155B","X","family"
"GDPD2","X","glycerophosphodiester"
"SAT1","X","spermidine/spermine"
"GNL3L","X","G"
"SH3BP4","2","SH3"
"MOSPD2","X","motile"
"DOCK6","19","dedicator"
"ECSIT","19","ECSIT"
"LDLR","19","low"
"ELOF1","19","elongation"
"TSPAN16","19","tetraspanin"
"ANGPTL8","19","angiopoietin"
"PRKCSH","19","protein"
"CNN1","19","calponin"
"CDC16","13","cell"
"ZSCAN10","16","zinc"
"THEM6","8","thioesterase"
"NECTIN2","19","nectin"
"APOE","19","apolipoprotein"
"TOMM40","19","translocase"
"APOC1","19","apolipoprotein"
"GADD45G","9","growth"
"LRCH2","X","leucine"
"DPP6","7","dipeptidyl"
"XPO7","8","exportin"
"ACE2","X","angiotensin"
"FAM98C","19","family"
"SAFB2","19","scaffold"
"RPL36","19","ribosomal"
"ATP8B3","19","ATPase"
"GDF1","19","growth"
"NCAN","19","neurocan"
"KIF1A","2","kinesin"
"GTPBP3","19","GTP"
"PLVAP","19","plasmalemma"
"BST2","19","bone"
"SLC27A1","19","solute"
"NSUN5","7","NOP2/Sun"
"USHBP1","19","USH1"
"COLGALT1","19","collagen"
"DDA1","19","DET1"
"MRPL34","19","mitochondrial"
"PGLS","19","6-phosphogluconolactonase"
"LSM7","19","LSM7"
"TULP4","6","tubby"
"SNX9","6","sorting"
"RTN4IP1","6","reticulon"
"QRSL1","6","glutaminyl-tRNA"
"C6orf203","6","chromosome"
"RSPH3","6","radial"
"MAS1","6","MAS1"
"ACSBG2","19","acyl-CoA"
"MLLT1","19","MLLT1,"
"FUT5","19","fucosyltransferase"
"BMP15","X","bone"
"AFDN","6","afadin,"
"ACTN4","19","actinin"
"STK33","11","serine/threonine"
"NDUFA10","2","NADH:ubiquinone"
"EPO","7","erythropoietin"
"ARPC1B","7","actin"
"CACNG6","19","calcium"
"ZSWIM6","5","zinc"
"FCHO1","19","FCH"
"UNC13A","19","unc-13"
"MAP1S","19","microtubule"
"KLHDC7B","22","kelch"
"SCO2","22","SCO2,"
"PXDN","2","peroxidasin"
"SSBP4","19","single"
"GDF15","19","growth"
"PGPEP1","19","pyroglutamyl-peptidase"
"IQCN","19","IQ"
"LSM4","19","LSM4"
"JUND","19","JunD"
"HRC","19","histidine"
"TRPM4","19","transient"
"OR11H1","22","olfactory"
"SULT4A1","22","sulfotransferase"
"ZNF557","19","zinc"
"CRB3","19","crumbs"
"OLFM1","9","olfactomedin"
"CAMSAP1","9","calmodulin"
"UBAC1","9","UBA"
"SAG","2","S-antigen"
"ZBTB46","20","zinc"
"HELZ2","20","helicase"
"SAMD10","20","sterile"
"LSP1","11","lymphocyte-specific"
"TNNT3","11","troponin"
"TNNI2","11","troponin"
"COL5A1","9","collagen"
"ATXN10","22","ataxin"
"TUBGCP2","10","tubulin"
"CALY","10","calcyon"
"CYP2E1","10","cytochrome"
"PNPLA7","9","patatin"
"HBZ","16","hemoglobin"
"PAK4","19","p21"
"MNX1","7","motor"
"ZNF337","20","zinc"
"CEP85","1","centrosomal"
"TAF4","20","TATA-box"
"GATA5","20","GATA"
"RBBP8NL","20","RBBP8"
"LAMA5","20","laminin"
"OSBPL2","20","oxysterol"
"ADRM1","20","adhesion"
"ASS1","9","argininosuccinate"
"PRDM12","9","PR/SET"
"EXOSC2","9","exosome"
"POMT1","9","protein"
"UCK1","9","uridine-cytidine"
"FIBCD1","9","fibrinogen"
"PRRC2B","9","proline"
"CHMP2A","19","charged"
"UBE2M","19","ubiquitin"
"TRIM28","19","tripartite"
"METTL26","16","methyltransferase"
"YIPF2","19","Yip1"
"ATG4D","19","autophagy"
"EIF2S3","X","eukaryotic"
"TMEM160","19","transmembrane"
"ZC3H4","19","zinc"
"NPAS1","19","neuronal"
"GMFG","19","glia"
"MAP3K10","19","mitogen-activated"
"ARHGEF16","1","Rho"
"LRRC47","1","leucine"
"SESN2","1","sestrin"
"SMPDL3B","1","sphingomyelin"
"ATP5IF1","1","ATP"
"MED18","1","mediator"
"THEMIS2","1","thymocyte"
"CLIP1","12","CAP-Gly"
"CCDC62","12","coiled-coil"
"HIP1R","12","huntingtin"
"ZNF317","19","zinc"
"PPAN","19","peter"
"EIF3G","19","eukaryotic"
"ANGPTL6","19","angiopoietin"
"C19orf66","19","chromosome"
"DNMT1","19","DNA"
"ZNF426","19","zinc"
"SLC6A8","X","solute"
"PNCK","X","pregnancy"
"DKC1","X","dyskerin"
"PLXNA3","X","plexin"
"DUSP9","X","dual"
"MPP1","X","membrane"
"ZNF331","19","zinc"
"ZNF236","18","zinc"
"SLC7A10","19","solute"
"LRP3","19","LDL"
"C12orf65","12","chromosome"
"NOL11","17","nucleolar"
"UBE4B","1","ubiquitination"
"CASZ1","1","castor"
"PKDREJ","22","polycystin"
"HSD17B3","9","hydroxysteroid"
"NUTM2F","9","NUT"
"HABP4","9","hyaluronan"
"FBP2","9","fructose-bisphosphatase"
"SLC35D2","9","solute"
"PRRG1","X","proline"
"UBA1","X","ubiquitin"
"RGN","X","regucalcin"
"POLN","4","DNA"
"PPIL4","6","peptidylprolyl"
"ULBP2","6","UL16"
"AKAP12","6","A-kinase"
"SYNE1","6","spectrin"
"ULBP3","6","UL16"
"LATS1","6","large"
"EPS8L1","19","EPS8"
"LILRB2","19","leukocyte"
"AAR2","20","AAR2"
"TTLL9","20","tubulin"
"BPIFA2","20","BPI"
"RBM39","20","RNA"
"COX4I2","20","cytochrome"
"BPIFA3","20","BPI"
"ZNF341","20","zinc"
"GGT7","20","gamma-glutamyltransferase"
"DEFB118","20","defensin"
"ACSS2","20","acyl-CoA"
"EDA2R","X","ectodysplasin"
"ARHGEF9","X","Cdc42"
"C1QL1","17","complement"
"GFAP","17","glial"
"PYY","17","peptide"
"HIGD1B","17","HIG1"
"ATP6V1E1","22","ATPase"
"ZNF227","19","zinc"
"ZNF428","19","zinc"
"TEX101","19","testis"
"ZNF141","4","zinc"
"CCL25","19","C-C"
"COX4I1","16","cytochrome"
"EMC8","16","ER"
"GSE1","16","Gse1"
"AC010531.1","16",NA
"GINS2","16","GINS"
"CHMP1A","16","charged"
"SH3BGRL","X","SH3"
"COX7B","X","cytochrome"
"SLC34A1","5","solute"
"F12","5","coagulation"
"PRR7","5","proline"
"NFATC1","18","nuclear"
"IDO1","8","indoleamine"
"GJA9","1","gap"
"CAP1","1","cyclase"
"PPT1","1","palmitoyl-protein"
"RAB11FIP4","17","RAB11"
"RLIM","X","ring"
"CDX4","X","caudal"
"ABCB7","X","ATP"
"TRAF3","14","TNF"
"HAUS8","19","HAUS"
"ADGRE3","19","adhesion"
"MRPS25","3","mitochondrial"
"SH3BP5","3","SH3"
