"scientificName","commonName","criticalHabitat","speciesGroup","Status","specialRules","whereListed"
"Cercopithecus lhoesti","L'hoest's monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus alfredi","Visayan deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus duvauceli","Swamp deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus bactrianus","Bactrian deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus barbarus","Barbary stag","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus barbarus","Barbary deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus corsicanus","Corsican red deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus hanglu","Kashmir stag","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus macneilii","McNeill's deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus wallichi","Shou","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus elaphus yarkandensis","Yarkand deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus eldi","Eld's brow-antlered Deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus nippon grassianus","Shansi sika deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus nippon keramae","Ryukyu sika deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus nippon kopschi","South China sika deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus nippon mandarinus","North China sika deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Cervus nippon taiouanus","Formosan sika deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Chaeropus ecaudatus","Pig-footed bandicoot","N/A","Mammals","Endangered","N/A","Wherever found"
"Chaetocercus berlepschi","Esmeraldas woodstar","N/A","Birds","Endangered","N/A","Wherever found"
"Chaetomys subspinosus","Thin-spined porcupine","N/A","Mammals","Endangered","N/A","Wherever found"
"Charadrius melodus","Piping Plover","17.95(b)","Birds","Endangered","N/A","[Great Lakes watershed DPS] - Great Lakes watershed in States of IL IN MI MN NY OH PA and WI and Canada (Ont.)"
"Charadrius melodus","Piping Plover","17.95(b)","Birds","Threatened","N/A","[Atlantic Coast and Northern Great Plains populations] - Wherever found except those areas where listed as endangered."
"Charadrius nivosus nivosus","Western snowy plover","17.95(b)","Birds","Threatened","N/A","Pacific Coast population DPS-U.S.A. (CA OR WA) Mexico (within 50 miles of Pacific coast)"
"Chasiempis ibidis","Oahu elepaio","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Chasmistes brevirostris","Shortnose Sucker","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Chasmistes cujus","Cui-ui","N/A","Fishes","Endangered","N/A","Wherever found"
"Chasmistes liorus","June sucker","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Endangered","N/A","Green sea turtles originating from the Central South Pacific Ocean bounded by the following coordinates: 9 degrees N. 175 degrees W. in the northwest; 9 degrees N. 125 degrees W. in the northeast; 40 degrees S. 96 degrees W. in the southeast; 40 degrees S. 176 degrees E. in the southwest; and 13 degrees S. 171 degrees E. in the west"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Endangered","N/A","Green sea turtles originating from the Central West Pacific Ocean bounded by the following coordinates: 41 degrees N. 146 degrees E. in the northwest; 41 degrees N. 169 degrees E. in the northeast; 9 degrees N. 175 degrees W. in the east; 13 degrees S. 171 degrees E. in the southeast; along the northern coast of the island of New Guinea; and 4.5 degrees N. 129 degrees E. in the west"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Endangered","N/A","Green sea turtles originating from the Mediterranean Sea bounded by 5.5 degrees W. Long. in the west"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the Central North Pacific Ocean bounded by the following coordinates: 41 degrees N. 169 degrees E. in the northwest; 41 degrees N. 143 degrees W. in the northeast; 9 degrees N. 125 degrees W. in the southeast; and 9 degrees N. 175 degrees W. in the southwest Pacific coast of Mexico"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the Eastern Indian and Western Pacific Oceans bounded by the following lines and coordinates: 41 degrees N. Lat. in the north 41 degrees N. 146 degrees E. in the northeast; 4.5 degrees N. 129 degrees E. in the southeast; along the southern coast of the island of New Guinea; along the western coast of Australia (west of 142 degrees E. Long.); 40 degrees S. Lat. in the south; and 84 degrees E. Long. in the east"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the East Pacific Ocean bounded by the following lines and coordinates: 41 degrees N. 143 degrees W. in the northwest; 41 degrees N. Lat. in the north; along the western coasts of the Americas; 40 degrees S. Lat. in the south; and 40 degrees S. 96 degrees W. in the southwest"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the North Atlantic Ocean bounded by the following lines and coordinates: 48 degrees N. Lat. in the north along the western coasts of Europe and Africa (west of 5.5 degrees W. Long.); north of 19 degrees N. Lat. in the east; bounded by 19 degrees N. 65.1 degrees W. to 14 degrees N. 65.1 degrees W. then 14 degrees N. 77 degrees W. in the south and west; and along the eastern coasts of the Americas (north of 7.5 degrees N. 77 degrees W.)"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the North Indian Ocean bounded by: Africa and Asia in the west and north; 84 degrees E. Long. in the east; and the equator in the south"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the South Atlantic Ocean bounded by the following lines and coordinates: along the northern and eastern coasts of South America (east of 7.5 degrees N. 77 degrees W.); 14 degrees N. 77 degrees W. to 14 degrees N. 65.1 degrees W. to 19 degrees N. 65.1 degrees W. in the north and west; 19 degrees N. Lat. in the northeast; 40 degrees S. 19 degrees E. in the southeast; and 40 degrees S. Lat. in the south"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the Southwest Indian Ocean bounded by the following lines: the equator to the north; 84 degrees E. Long. to the east; 40 degrees S. Lat. to the south; and 19 degrees E. Long (and along the eastern coast of Africa) in the west"
"Chelonia mydas","Green sea turtle","N/A","Reptiles","Threatened","N/A","Green sea turtles originating from the Southwest Pacific Ocean bounded by the following lines and coordinates: along the southern coast of the island of New Guinea and the Torres Strait (east of 142 degrees E Long.); 13 degrees S. 171 degrees E. in the northeast; 40 degrees S. 176 degrees E. in the southeast; and 40 degrees S. 142 degrees E. in the southwest"
"Chinchilla brevicaudata boliviana","Chinchilla","N/A","Mammals","Endangered","N/A","Wherever found"
"Chiropotes albinasus","White-nosed saki","N/A","Mammals","Endangered","N/A","Wherever found"
"Chiropotes satanas satanas","Southern bearded saki","N/A","Mammals","Endangered","N/A","Wherever found"
"Chlamyphorus truncatus","Pink fairy armadillo","N/A","Mammals","Endangered","N/A","Wherever found"
"Chondrohierax uncinatus mirus","Grenada hook-billed kite","N/A","Birds","Endangered","N/A","Wherever found"
"Chondrohierax uncinatus wilsonii","Cuba hook-billed kite","N/A","Birds","Endangered","N/A","Wherever found"
"Chrosomus saylori","Laurel dace","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Chrysocyon brachyurus","Maned wolf","N/A","Mammals","Endangered","N/A","Wherever found"
"Cichlherminia iherminieri santaeluciae","St. Lucia Forest thrush","N/A","Birds","Endangered","N/A","Wherever found"
"Cicindela dorsalis dorsalis","Northeastern beach tiger beetle","N/A","Insects","Threatened","N/A","Wherever found"
"Cicindela nevadica lincolniana","Salt Creek Tiger beetle","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Cicindela ohlone","Ohlone tiger beetle","N/A","Insects","Endangered","N/A","Wherever found"
"Cicindela puritana","Puritan tiger beetle","N/A","Insects","Threatened","N/A","Wherever found"
"Cicindelidia floridana","Miami tiger beetle","N/A","Insects","Endangered","N/A","Wherever found"
"Ciconia boyciana (=ciconia b.)","Oriental white stork","N/A","Birds","Endangered","N/A","Wherever found"
"Cicurina baronia","Robber Baron Cave Meshweaver","17.95(g)","Arachnids","Endangered","N/A","Wherever found"
"Cicurina madla","Madla's Cave Meshweaver","17.95(g)","Arachnids","Endangered","N/A","Wherever found"
"Cicurina venii","Braken Bat Cave Meshweaver","17.95(g)","Arachnids","Endangered","N/A","Wherever found"
"Cicurina vespera","Government Canyon Bat Cave Meshweaver","17.95(g)","Arachnids","Endangered","N/A","Wherever found"
"Cinclocerthia ruficauda gutturalis","Martinique trembler (thrasher)","N/A","Birds","Endangered","N/A","Wherever found"
"Cinclodes aricomae","Royal cinclodes","N/A","Birds","Endangered","N/A","Wherever found"
"Clemmys muhlenbergii","bog turtle","N/A","Reptiles","Similarity of Appearance to a Threatened Taxon","17.42(f)","U.S.A. (GA NC SC TN VA)"
"Clemmys muhlenbergii","bog turtle","N/A","Reptiles","Threatened","N/A","Wherever found except GA NC SC TN VA"
"Cnemidophorus vanzoi","Maria Island ground lizard","N/A","Reptiles","Endangered","N/A","Wherever found"
"Coccyzus americanus","Yellow-billed Cuckoo","N/A","Birds","Threatened","N/A","Western DPS: U.S.A. (AZ CA CO (western) ID MT (western) NM (western) NV OR TX (western) UT WA WY (western)); Canada (British Columbia (southwestern); Mexico (Baja California Baja California Sur Chihuahua Durango (western) Sinaloa Sonora)"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","N/A","Birds","Endangered","N/A","Wherever found"
"Colobus satanas","Black colobus monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Columba inornata wetmorei","Puerto Rican plain Pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Columba junoniae","White-tailed laurel Pigeon","N/A","Birds","Threatened","N/A","Wherever found"
"Columba mayeri","Pink pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Columba palumbus azorica","Azores wood pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Conolophus pallidus","Barrington land iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Conraua goliath","Goliath Frog","N/A","Amphibians","Threatened","N/A","Wherever found"
"Copsychus niger cebuensis","Cebu black shama (thrush)","N/A","Birds","Endangered","N/A","Wherever found"
"Copsychus sechellarum","Seychelles magpie-robin (thrush)","N/A","Birds","Endangered","N/A","Wherever found"
"Coquus newtoni","Reunion cuckoo-shrike","N/A","Birds","Endangered","N/A","Wherever found"
"Coquus typicus","Mauritius cuckoo-shrike","N/A","Birds","Endangered","N/A","Wherever found"
"Coracopsis nigra barklyi","Seychelles lesser vasa parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Coreobagrus ichikawai","Nekogigi (catfish)","N/A","Fishes","Endangered","N/A","Wherever found"
"Corvus hawaiiensis","Hawaiian (='alala) Crow","N/A","Birds","Endangered","N/A","Wherever found"
"Corvus kubaryi","Mariana (=aga) Crow","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Corvus leucognaphalus","White-necked crow","N/A","Birds","Endangered","N/A","Wherever found"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","N/A","Mammals","Endangered","N/A","Wherever found"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","17.95(a)","Mammals","Endangered","N/A","Wherever found"
"Cotinga maculata","Banded cotinga","N/A","Birds","Endangered","N/A","Wherever found"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","N/A","Fishes","Threatened","17.44(u)","Wherever found"
"Cottus specus","Grotto Sculpin","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Craseonycteris thonglongyai","Bumblebee bat","N/A","Mammals","Endangered","N/A","Wherever found"
"Crax alberti","Blue-billed curassow","N/A","Birds","Endangered","N/A","Wherever found"
"Crax blumenbachii","Red-billed curassow","N/A","Birds","Endangered","N/A","Wherever found"
"Crenichthys baileyi baileyi","White River springfish","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Crenichthys baileyi grandis","Hiko White River springfish","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Crenichthys nevadae","Railroad Valley springfish","17.95(e)","Fishes","Threatened","17.44(n)","Wherever found"
"Crocodylus acutus","American crocodile","N/A","Reptiles","Endangered","N/A","Wherever found except in U.S.A. (FL)"
"Crocodylus acutus","American crocodile","N/A","Reptiles","Threatened","N/A","U.S.A. (FL)"
"Crocodylus cataphractus","African slender-snouted crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus intermedius","Orinoco crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus niloticus","Nile crocodile","N/A","Reptiles","Threatened","17.42(c)","Wherever found"
"Crocodylus novaeguineae mindorensis","Philippine crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus palustris kimbula","Ceylon mugger crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus palustris palustris","Mugger crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus porosus","Saltwater crocodile","N/A","Reptiles","Endangered","N/A","Wherever found except Papua New Guinea and Australia"
"Crocodylus porosus","Saltwater crocodile","N/A","Reptiles","Threatened","17.42(c)","Australia"
"Crocodylus rhombifer","Cuban crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crocodylus siamensis","Siamese crocodile","N/A","Reptiles","Endangered","N/A","Wherever found"
"Crossoptilon crossoptilon","White eared pheasant","N/A","Birds","Endangered","N/A","Wherever found"
"Crossoptilon mantchuricum","Brown eared pheasant","N/A","Birds","Endangered","N/A","Wherever found"
"Crotalus unicolor","Aruba Island rattlesnake","N/A","Reptiles","Threatened","N/A","Wherever found"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","17.95(c)","Reptiles","Threatened","N/A","Wherever found"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","N/A","Amphibians","Endangered","N/A","Wherever found"
"Crystallaria cincotta","diamond Darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Cumberlandia monodonta","Spectaclecase (mussel)","N/A","Clams","Endangered","N/A","Wherever found"
"Cuon alpinus","Dhole","N/A","Mammals","Endangered","N/A","Wherever found"
"Cyanopsitta spixii","Little blue macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Cyanoramphus auriceps forbesi","Forbes' parakeet","N/A","Birds","Endangered","N/A","Wherever found"
"Cyanoramphus cookii (=novaezelandiae c.)","Norfolk Island parakeet","N/A","Birds","Endangered","N/A","Wherever found"
"Cyclargus (=Hemiargus) thomasi bethunebakeri","Miami Blue Butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Cyclargus ammon","Nickerbean Blue Butterfly","N/A","Insects","Similarity of Appearance to a Threatened Taxon","17.47(a)","Wherever found"
"Cyclura carinata bartschi","Mayaguana iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura carinata carinata","Turks and Caicos iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura collei","Jamaican iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Cyclura cychlura cychlura","Andros Island ground iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura cychlura figginsi","Exuma Island iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura cychlura inornata","Allen's Cay iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura lewisi","Grand Cayman ground iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Cyclura nubila caymanensis","Cayman Brac ground iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura nubila nubila","Cuban ground iguana","N/A","Reptiles","Threatened","N/A","Cuba (excludes U.S. Puerto Rico population)"
"Cyclura pinguis","Anegada ground iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Cyclura rileyi cristata","White Cay ground iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura rileyi nuchalis","Acklins ground iguana","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyclura rileyi rileyi","Watling Island ground iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Cyclura stejnegeri","Mona ground Iguana","17.95(c)","Reptiles","Threatened","N/A","Wherever found"
"Cynomys mexicanus","Mexican prairie dog","N/A","Mammals","Endangered","N/A","Mexico"
"Cynomys parvidens","Utah prairie dog","N/A","Mammals","Threatened","17.40(g)","Wherever found"
"Cynoscion macdonaldi","Totoaba (seatrout or weakfish)","N/A","Fishes","Endangered","N/A","Wherever found"
"Cyprinella caerulea","Blue shiner","N/A","Fishes","Threatened","N/A","Wherever found"
"Cyprinella formosa","Beautiful shiner","17.95(e)","Fishes","Threatened","17.44(h)","Wherever found"
"Cyprinodon bovinus","Leon Springs pupfish","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon diabolis","Devils Hole pupfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon elegans","Comanche Springs pupfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon macularius","Desert pupfish","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Cyprinodon radiosus","Owens pupfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Cyprogenia stegaria","Fanshell","N/A","Clams","Endangered","N/A","Wherever found"
"Cyprogenia stegaria","Fanshell","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Cyrtodactylus serpensinsula","Serpent Island gecko","N/A","Reptiles","Threatened","N/A","Wherever found"
"Cyrtonaias tampicoensis tecomatensis","Tampico pearlymussel","N/A","Clams","Endangered","N/A","Wherever found"
"Cyrtonyx montezumae merriami","Merriam's Montezuma quail","N/A","Birds","Endangered","N/A","Wherever found"
"Dama mesopotamica (=dama m.)","Persian fallow deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Damaliscus pygarus (=dorcas) dorcas","Bontebok","N/A","Mammals","Endangered","N/A","Wherever found"
"Dasyornis broadbenti littoralis","Western rufous bristlebird","N/A","Birds","Endangered","N/A","Wherever found"
"Dasyornis longirostris (=brachypterus I.)","Western bristlebird","N/A","Birds","Endangered","N/A","Wherever found"
"Dasyurus viverrinus","Eastern native-cat","N/A","Mammals","Endangered","N/A","Wherever found"
"Daubentonia madagascariensis","Aye-aye","N/A","Mammals","Endangered","N/A","Wherever found"
"Delphinapterus leucas","beluga whale","N/A","Mammals","Endangered","N/A","Cook Inlet DPS See 50 CFR 224.101"
"Deltistes luxatus","Lost River sucker","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Dendrogyra cylindrus","Pillar Coral","N/A","Corals","Threatened","N/A","Wherever found"
"Dendroica chrysoparia","Golden-cheeked warbler (=wood)","N/A","Birds","Endangered","N/A","Wherever found"
"Dendroica petechia petechia","Barbados yellow warbler (=wood)","N/A","Birds","Endangered","N/A","Wherever found"
"Dermatemys mawii","Central American river turtle","N/A","Reptiles","Endangered","N/A","Wherever found"
"Dermochelys coriacea","Leatherback sea turtle","17.95(c) 226.207","Reptiles","Endangered","224.104","Wherever found"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","17.95(i)","Insects","Threatened","N/A","Wherever found"
"Dicerorhinus sumatrensis","Sumatran rhinoceros","N/A","Mammals","Endangered","N/A","Wherever found"
"Diceros bicornis","Black rhinoceros","N/A","Mammals","Endangered","N/A","Sub-Saharan Africa"
"Dinacoma caseyi","Casey's June Beetle","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Diomedia amsterdamensis","Amsterdam Albatross","N/A","Birds","Endangered","N/A","Wherever found"
"Dionda diaboli","Devils River minnow","17.95(e)","Fishes","Threatened","N/A","Wherever found"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","17.95(a)","Mammals","Endangered","N/A","Wherever found"
"Dipodomys ingens","Giant kangaroo rat","N/A","Mammals","Endangered","N/A","Wherever found"
"Dipodomys merriami parvus","San Bernardino Merriam's kangaroo rat","17.95(a)","Mammals","Endangered","N/A","Wherever found"
"Dipodomys nitratoides exilis","Fresno kangaroo rat","17.95(a)","Mammals","Endangered","N/A","Wherever found"
"Dipodomys nitratoides nitratoides","Tipton kangaroo rat","N/A","Mammals","Endangered","N/A","Wherever found"
"Dipodomys stephensi (incl. D. cascus)","Stephens' kangaroo rat","N/A","Mammals","Endangered","N/A","Wherever found"
"Discoglossus nigriventer","Israel painted frog","N/A","Amphibians","Endangered","N/A","Wherever found"
"Discus macclintocki","Iowa Pleistocene snail","N/A","Snails","Endangered","N/A","Wherever found"
"Drepanis coccinea","`I`iwi","N/A","Birds","Threatened","N/A","Wherever found"
"Drepanoptila holosericea","Cloven-feathered dove","N/A","Birds","Endangered","N/A","Wherever found"
"Dromus dromas","Dromedary pearlymussel","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Dromus dromas","Dromedary pearlymussel","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Dromus dromas","Dromedary pearlymussel","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Drosophila aglaia","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila differens","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila digressa","Hawaiian picture-wing fly","N/A","Insects","Endangered","N/A","Wherever found"
"Drosophila hemipeza","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila heteroneura","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila montgomeryi","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila mulli","Hawaiian picture-wing fly","17.95(i)","Insects","Threatened","N/A","Wherever found"
"Drosophila musaphilia","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila neoclavisetae","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila obatai","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila ochrobasis","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila sharpi","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila substenoptera","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drosophila tarphytrichia","Hawaiian picture-wing fly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Drymarchon corais couperi","Eastern indigo snake","N/A","Reptiles","Threatened","N/A","Wherever found"
"Dryocopus javensis richardsi","Tristam's woodpecker","N/A","Birds","Endangered","N/A","Wherever found"
"Ducula galeata","Marquesas pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Ducula mindorensis","Mindoro imperial (=zone-tailed) pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Dugong dugon","Dugong","N/A","Mammals","Endangered","N/A","Wherever found"
"Egretta eulophotes","Chinese egret","N/A","Birds","Endangered","N/A","Wherever found"
"Elaphrus viridis","Delta green ground beetle","17.95(i)","Insects","Threatened","N/A","Wherever found"
"Elassoma alabamae","Spring pygmy sunfish","N/A","Fishes","Threatened","N/A","Wherever found"
"Elephas maximus","Asian elephant","N/A","Mammals","Endangered","N/A","Wherever found"
"Eleutherodactylus cooki","Guajon","17.95(d)","Amphibians","Threatened","N/A","Wherever found"
"Eleutherodactylus jasperi","Golden coqui","17.95(d)","Amphibians","Threatened","N/A","Wherever found"
"Eleutherodactylus juanariveroi","Llanero Coqui","17.95(d)","Amphibians","Endangered","N/A","Wherever found"
"Elimia crenatella","Lacy elimia (snail)","N/A","Snails","Threatened","N/A","Wherever found"
"Elliptio chipolaensis","Chipola slabshell","17.95(f)","Clams","Threatened","N/A","Wherever found"
"Elliptio lanceolata","Yellow lance","N/A","Clams","Threatened","N/A","Wherever found"
"Elliptio spinosa","Altamaha Spinymussel","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Elliptio steinstansana","Tar River spinymussel","N/A","Clams","Endangered","N/A","Wherever found"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","17.95(f)","Clams","Threatened","N/A","Wherever found"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","N/A","Mammals","Endangered","N/A","Wherever found"
"Emballonura semicaudata semicaudata","Pacific sheath-tailed Bat","N/A","Mammals","Endangered","N/A","American Samoa"
"Emoia slevini","Slevin's skink","N/A","Reptiles","Endangered","N/A","Wherever found"
"Empetrichthys latos","Pahrump poolfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Empidonax euleri johnstonei","Euler's flycatcher","N/A","Birds","Endangered","N/A","Wherever found"
"Empidonax traillii extimus","Southwestern willow flycatcher","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Enhydra lutris kenyoni","Northern Sea Otter","17.95(a)","Mammals","Threatened","17.40(p)","Southwest Alaska from Attu Island to Western Cook Inlet including Bristol Bay the Kodiak Archipelago and the Barren Islands"
"Enhydra lutris nereis","Southern sea otter","N/A","Mammals","Threatened","17.84(d)","Wherever found"
"Epicrates inornatus","Puerto Rican boa","N/A","Reptiles","Endangered","N/A","Wherever found"
"Epicrates monensis granti","Virgin Islands tree boa","N/A","Reptiles","Endangered","N/A","Wherever found"
"Epicrates monensis monensis","Mona boa","17.95(c)","Reptiles","Threatened","N/A","Wherever found"
"Epicrates subflavus","Jamaican boa","N/A","Reptiles","Endangered","N/A","Wherever found"
"Epinephelus striatus","Nassau grouper","N/A","Fishes","Threatened","N/A","Entire"
"Epioblasma brevidens","Cumberlandian combshell","17.95(f)","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Epioblasma brevidens","Cumberlandian combshell","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Epioblasma brevidens","Cumberlandian combshell","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Epioblasma capsaeformis","Oyster mussel","17.95(f)","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Epioblasma capsaeformis","Oyster mussel","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Epioblasma capsaeformis","Oyster mussel","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Epioblasma florentina curtisii","Curtis pearlymussel","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma florentina florentina","Yellow blossom (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
